iter	Passed	Remaining
594	342401	348155
595	342938	347541
596	343501	346953
597	344089	346390
598	344651	345801
599	345207	345207
600	345782	344632
601	346372	344070
602	346963	343511
603	347588	342985
604	348224	342468
605	348901	341993
606	349577	341514
607	350272	341054
608	350997	340622
609	351668	340138
610	352276	339592
611	352859	339021
612	353428	338438
613	354016	337872
614	354593	337296
615	355187	336736
616	355763	336159
617	356380	335620
618	356958	335044
619	357566	334497
620	358184	333959
621	358742	333365
622	359291	332762
623	359868	332186
624	360422	331588
625	361006	331018
626	361615	330471
627	362169	329874
628	362734	329287
629	363325	328722
630	363920	328162
631	364503	327591
632	365072	327007
633	365644	326426
634	366228	325857
635	366806	325281
636	367374	324696
637	367944	324114
638	368512	323529
639	369069	322936
640	369649	322362
641	370203	321765
642	370762	321173
643	371336	320594
644	371902	320009
645	372496	319447
646	373069	318867
647	373537	318198
648	374082	317595
649	374630	316995
650	375219	316429
651	375801	315857
652	376341	315250
653	376909	314667
654	377480	314086
655	378037	313494
656	378622	312925
657	379201	312351
658	379783	311779
659	380375	311216
660	380939	310630
661	381504	310044
662	382082	309469
663	382620	308862
664	383107	308214
665	383566	307544
666	384125	306954
667	384707	306384
668	385287	305811
669	385929	305287
670	386536	304735
671	387167	304202
672	387766	303644
673	388355	303078
674	388985	302544
675	389555	301963
676	390109	301369
677	390740	300835
678	391316	300258
679	391930	299711
680	392511	299138
681	393106	298576
682	393687	298003
683	394291	297447
684	394881	296881
685	395488	296328
686	396064	295750
687	396676	295200
688	397283	294647
689	397869	294077
690	398462	293512
691	399044	292939
692	399636	292375
693	400200	291788
694	400776	291211
695	401329	290617
696	401927	290056
697	402497	289475
698	403061	288889
699	403646	288318
700	404226	287744
701	404804	287169
702	405388	286597
703	405966	286021
704	406549	285449
705	407135	284879
706	407732	284317
707	408203	283666
708	408780	283090
709	409365	282520
710	409922	281930
711	410482	281341
712	411159	280833
713	411730	280253
714	412372	279721
715	412932	279132
716	413514	278559
717	414088	277981
718	414655	277398
719	415211	276807
720	415771	276219
721	416344	275640
